what,kind,bundleId,bundleVersion,description,time
ws,sysinfo,,,"cocoa",1327676764362
locale,sysinfo,,,"en_US",1327676764362
processors,sysinfo,,,"2",1327676764362
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1327676764362
java.runtime.version,sysinfo,,,"1.6.0_29-b11-402-10M3527",1327676764362
java.specification.name,sysinfo,,,"Java Platform API Specification",1327676764362
java.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1327676764362
java.specification.version,sysinfo,,,"1.6",1327676764362
java.vendor,sysinfo,,,"Apple Inc.",1327676764362
java.version,sysinfo,,,"1.6.0_29",1327676764362
java.vm.info,sysinfo,,,"mixed mode",1327676764362
java.vm.name,sysinfo,,,"Java HotSpot(TM) 64-Bit Server VM",1327676764362
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1327676764362
java.vm.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1327676764362
java.vm.specification.version,sysinfo,,,"1.0",1327676764362
java.vm.vendor,sysinfo,,,"Apple Inc.",1327676764362
java.vm.version,sysinfo,,,"20.4-b02-402",1327676764362
started,bundle,org.eclipse.wb.discovery.ui,1.2.0.r36x201109270333,"org.eclipse.wb.discovery.ui",1327676765139
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1327678944390
activated,editor,org.eclipse.wb.core.ui,,"org.eclipse.wb.core.guiEditor",1327678944401
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1327678946924
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1327680059065
opened,view,org.eclipse.ui.ide,3.6.0.I20100601-0800,"org.eclipse.ui.views.ProblemView",1327680062212
opened,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1327680062286
started,bundle,org.eclipse.search,3.6.0.v20100520-0800,"org.eclipse.search",1327680062514
opened,view,org.eclipse.mylyn.tasks.ui,3.4.3.v20110131-0100-e3x,"org.eclipse.mylyn.tasks.ui.views.tasks",1327680062859
opened,view,org.eclipse.ui.views,3.5.0.I20100527-0800,"org.eclipse.ui.views.ContentOutline",1327680063405
started,bundle,org.eclipse.pde.launching,3.6.0.v20100601,"org.eclipse.pde.launching",1327680063797
started,bundle,org.eclipse.ui.views.log,1.0.100.v20110210_r362,"org.eclipse.ui.views.log",1327680063808
started,bundle,org.eclipse.pde.ui,3.6.1.v20110210_r362,"org.eclipse.pde.ui",1327680063830
opened,view,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.PackageExplorer",1327680063936
activated,view,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.PackageExplorer",1327680064042
activated,editor,org.eclipse.wb.core.ui,,"org.eclipse.wb.core.guiEditor",1327680066425
activated,view,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.PackageExplorer",1327680066542
closed,editor,org.eclipse.wb.core.ui,,"org.eclipse.wb.core.guiEditor",1327680066543
opened,editor,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.CompilationUnitEditor",1327680072963
activated,editor,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.CompilationUnitEditor",1327680073103
started,bundle,org.eclipse.jdt.junit,3.6.0.v20100526-0800,"org.eclipse.jdt.junit",1327680073337
activated,view,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.PackageExplorer",1327680073858
opened,editor,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.CompilationUnitEditor",1327680074072
activated,editor,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.CompilationUnitEditor",1327680074208
activated,view,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.PackageExplorer",1327680074886
opened,editor,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.CompilationUnitEditor",1327680075372
activated,editor,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.CompilationUnitEditor",1327680075541
activated,view,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.PackageExplorer",1327680076533
opened,editor,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.CompilationUnitEditor",1327680076904
activated,editor,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.CompilationUnitEditor",1327680077066
activated,view,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.PackageExplorer",1327680077651
opened,editor,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.CompilationUnitEditor",1327680077962
activated,editor,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.CompilationUnitEditor",1327680078117
activated,view,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.PackageExplorer",1327680078553
opened,editor,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.CompilationUnitEditor",1327680078871
activated,editor,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.CompilationUnitEditor",1327680078999
activated,editor,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.CompilationUnitEditor",1327680080538
activated,view,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.PackageExplorer",1327680085037
started,bundle,org.eclipse.compare,3.5.100.I20100526-0800,"org.eclipse.compare",1327680085590
started,bundle,com.google.gdt.eclipse.designer.wizards,2.4.2.r36x201110181249,"com.google.gdt.eclipse.designer.wizards",1327680085675
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1327680088577
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1327680088770
closed,editor,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.CompilationUnitEditor",1327680090683
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1327680090916
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.delete",1327680090956
activated,editor,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.CompilationUnitEditor",1327680092334
