what,kind,bundleId,bundleVersion,description,time
opened,editor,org.eclipse.wb.core.ui,,"org.eclipse.wb.core.guiEditor",1328207204937
activated,editor,org.eclipse.wb.core.ui,,"org.eclipse.wb.core.guiEditor",1328207205059
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1328207206436
started,bundle,org.eclipse.wb.runtime.lib,1.2.0.r36x201109270310,"org.eclipse.wb.runtime.lib",1328207206634
started,bundle,com.google.gdt.eclipse.designer.GWTExt,2.4.2.r36x201110181249,"com.google.gdt.eclipse.designer.GWTExt",1328207206971
started,bundle,org.eclipse.wb.rcp.nebula,1.2.0.r36x201109270442,"org.eclipse.wb.rcp.nebula",1328207207011
started,bundle,org.eclipse.wb.swing.FormLayout,1.2.0.r36x201109270434,"org.eclipse.wb.swing.FormLayout",1328207207135
started,bundle,org.eclipse.pde.core,3.6.2.v20110210_r362,"org.eclipse.pde.core",1328207207470
started,bundle,org.eclipse.pde,3.6.1.v201102101200,"org.eclipse.pde",1328207207520
started,bundle,org.eclipse.equinox.simpleconfigurator.manipulator,2.0.0.v20100503,"org.eclipse.equinox.simpleconfigurator.manipulator",1328207207545
started,bundle,org.eclipse.equinox.frameworkadmin,2.0.0.v20100503,"org.eclipse.equinox.frameworkadmin",1328207207558
started,bundle,org.eclipse.wb.rcp.GroupLayout,1.2.0.r36x201109270449,"org.eclipse.wb.rcp.GroupLayout",1328207214843
started,bundle,org.eclipse.wb.rcp.swing2swt,1.2.0.r36x201109270442,"org.eclipse.wb.rcp.swing2swt",1328207214854
started,bundle,org.eclipse.wb.core.databinding,1.2.0.r36x201109270310,"org.eclipse.wb.core.databinding",1328207215818
started,bundle,org.eclipse.wb.swing.jsr296,1.2.0.r36x201109270434,"org.eclipse.wb.swing.jsr296",1328207215865
started,bundle,org.eclipse.wb.layout.group,1.2.0.r36x201109270343,"org.eclipse.wb.layout.group",1328207217279
started,bundle,org.eclipse.wb.swing.MigLayout.lib,1.2.0.r36x201109270434,"org.eclipse.wb.swing.MigLayout.lib",1328207217332
started,bundle,org.eclipse.wb.swing.MigLayout,1.2.0.r36x201109270434,"org.eclipse.wb.swing.MigLayout",1328207217333
started,bundle,org.eclipse.wb.swing.java6,1.2.0.r36x201109270434,"org.eclipse.wb.swing.java6",1328207217351
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1328207217962
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1328207218111
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1328207277770
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1328207317501
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1328207322073
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1328207322272
error,log,,,"Unhandled event loop exception",1328207322414
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1328207324603
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1328207326669
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1328207326702
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1328207328343
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1328207328469
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1328207343765
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1328207344072
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1328207363993
activated,editor,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.CompilationUnitEditor",1328207368696
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1328207387901
activated,editor,org.eclipse.wb.core.ui,,"org.eclipse.wb.core.guiEditor",1328207389777
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1328207392334
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1328207392362
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1328207393197
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1328207393371
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1328207398675
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1328207412211
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1328207419039
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1328207420063
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1328207422562
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1328207431258
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1328207624710
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1328207626251
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1328207635929
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1328207643532
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1328207662888
opened,view,org.eclipse.ui.ide,3.6.0.I20100601-0800,"org.eclipse.ui.views.ProblemView",1328207667834
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1328207690357
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1328207691829
started,bundle,org.eclipse.wb.os,1.2.0.r36x201109270310,"org.eclipse.wb.os",1328207697146
started,bundle,org.eclipse.wb.os.macosx,1.2.0.r36x201109270310,"org.eclipse.wb.os.macosx",1328207697173
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1328207699858
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1328207700060
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.delete",1328207700115
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.undo",1328207708426
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1328207713061
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1328207714819
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1328207714857
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1328207715580
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1328207715707
started,bundle,org.eclipse.wb.swing.FormLayout.lib,1.2.0.r36x201109270434,"org.eclipse.wb.swing.FormLayout.lib",1328207759149
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1328207773757
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1328207773895
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1328207800466
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1328207802636
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1328207805792
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1328207823023
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1328207823165
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1328207823334
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1328207835663
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1328207835811
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1328207848110
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1328207848265
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1328207852254
activated,editor,org.eclipse.wb.core.ui,,"org.eclipse.wb.core.guiEditor",1328207852509
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1328207852622
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1328207863960
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1328207871219
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1328207877960
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1328207896912
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1328207897056
error,log,,,"Unhandled event loop exception",1328207897206
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1328207910680
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1328207913439
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1328207913467
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1328207914310
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1328207914494
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1328207917977
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1328207929443
activated,editor,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.CompilationUnitEditor",1328207934696
activated,editor,org.eclipse.wb.core.ui,,"org.eclipse.wb.core.guiEditor",1328207936473
activated,editor,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.CompilationUnitEditor",1328207937856
activated,editor,org.eclipse.wb.core.ui,,"org.eclipse.wb.core.guiEditor",1328207941162
activated,editor,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.CompilationUnitEditor",1328207949870
closed,editor,org.eclipse.wb.core.ui,,"org.eclipse.wb.core.guiEditor",1328207949871
activated,editor,org.eclipse.wb.core.ui,,"org.eclipse.wb.core.guiEditor",1328207956911
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1328207964887
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1328207965028
error,log,,,"Unhandled event loop exception",1328207965066
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1328207994385
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1328208005010
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1328208012203
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1328208016722
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1328208084146
