what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.mylyn.commons.net,3.4.1.v20100625-2100-e3x,"org.eclipse.mylyn.commons.net",1327436539265
started,bundle,org.eclipse.mylyn.context.core,3.4.1.v20100909-0100-e3x,"org.eclipse.mylyn.context.core",1327436539265
started,bundle,org.eclipse.mylyn.context.ui,3.4.2.v20110131-0100-e3x,"org.eclipse.mylyn.context.ui",1327436539266
started,bundle,org.eclipse.mylyn.monitor.ui,3.4.1.v20110131-0100-e3x,"org.eclipse.mylyn.monitor.ui",1327436539266
started,bundle,org.eclipse.mylyn.tasks.ui,3.4.3.v20110131-0100-e3x,"org.eclipse.mylyn.tasks.ui",1327436539267
started,bundle,org.eclipse.mylyn.team.ui,3.4.3.v20110131-0100-e3x,"org.eclipse.mylyn.team.ui",1327436539268
started,bundle,com.jformdesigner,5.0.2,"com.jformdesigner",1327436539269
started,bundle,com.google.gdt.eclipse.designer,2.4.2.r36x201110181239,"com.google.gdt.eclipse.designer",1327436539269
started,bundle,com.google.gdt.eclipse.designer.GXT,2.4.2.r36x201110181249,"com.google.gdt.eclipse.designer.GXT",1327436539269
started,bundle,com.google.gdt.eclipse.designer.SmartGWT,2.4.2.r36x201110181249,"com.google.gdt.eclipse.designer.SmartGWT",1327436539270
started,bundle,com.google.gdt.eclipse.designer.UiBinder,2.4.2.r36x201110181239,"com.google.gdt.eclipse.designer.UiBinder",1327436539302
started,bundle,com.google.gdt.eclipse.designer.hosted,2.4.2.r36x201110181233,"com.google.gdt.eclipse.designer.hosted",1327436539316
started,bundle,org.eclipse.wb.core,1.2.0.r36x201109270310,"org.eclipse.wb.core",1327436539317
started,bundle,org.eclipse.wb.core.lib,1.2.0.r36x201109270310,"org.eclipse.wb.core.lib",1327436539345
started,bundle,org.eclipse.wb.discovery.core,1.2.0.r36x201109270333,"org.eclipse.wb.discovery.core",1327436539345
os,sysinfo,,,"macosx",1327436539348
arch,sysinfo,,,"x86_64",1327436539348
ws,sysinfo,,,"cocoa",1327436539348
locale,sysinfo,,,"en_US",1327436539348
processors,sysinfo,,,"2",1327436539348
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1327436539348
java.runtime.version,sysinfo,,,"1.6.0_29-b11-402-10M3527",1327436539348
java.specification.name,sysinfo,,,"Java Platform API Specification",1327436539349
java.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1327436539349
java.specification.version,sysinfo,,,"1.6",1327436539349
java.vendor,sysinfo,,,"Apple Inc.",1327436539349
java.version,sysinfo,,,"1.6.0_29",1327436539349
java.vm.info,sysinfo,,,"mixed mode",1327436539349
java.vm.name,sysinfo,,,"Java HotSpot(TM) 64-Bit Server VM",1327436539349
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1327436539349
java.vm.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1327436539349
java.vm.specification.version,sysinfo,,,"1.0",1327436539349
java.vm.vendor,sysinfo,,,"Apple Inc.",1327436539349
java.vm.version,sysinfo,,,"20.4-b02-402",1327436539349
started,bundle,org.eclipse.wb.discovery.ui,1.2.0.r36x201109270333,"org.eclipse.wb.discovery.ui",1327436539796
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1327436574693
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1327436585882
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1327436615668
activated,view,org.eclipse.debug.ui,3.6.0.v20100601-1530,"org.eclipse.debug.ui.DebugView",1327436627460
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1327436627535
started,bundle,org.python.pydev.core,2.2.4.2011110216,"org.python.pydev.core",1327436629147
started,bundle,org.python.pydev.debug,2.2.4.2011110216,"org.python.pydev.debug",1327436629223
started,bundle,com.python.pydev.analysis,2.2.4.2011110216,"com.python.pydev.analysis",1327436629224
started,bundle,org.python.pydev,2.2.4.2011110216,"org.python.pydev",1327436629260
error,log,,,"Server returned HTTP response code: 500 for URL: https://ping.aptana.com/ping.php",1327436630515
opened,view,org.eclipse.debug.ui,3.6.0.v20100601-1530,"org.eclipse.debug.ui.BreakpointView",1327436632385
started,bundle,org.eclipse.mylyn.ide.ui,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.ide.ui",1327436638114
started,bundle,org.eclipse.pde.launching,3.6.0.v20100601,"org.eclipse.pde.launching",1327436653495
started,bundle,org.eclipse.ui.views.log,1.0.100.v20110210_r362,"org.eclipse.ui.views.log",1327436653498
started,bundle,org.eclipse.pde.ui,3.6.1.v20110210_r362,"org.eclipse.pde.ui",1327436653506
opened,view,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.PackageExplorer",1327436653625
started,bundle,org.eclipse.search,3.6.0.v20100520-0800,"org.eclipse.search",1327436653884
opened,view,org.eclipse.mylyn.tasks.ui,3.4.3.v20110131-0100-e3x,"org.eclipse.mylyn.tasks.ui.views.tasks",1327436654142
activated,perspective,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.JavaPerspective",1327436654294
activated,editor,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.CompilationUnitEditor",1327436654404
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1327436655584
