what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1327434143371
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1327434148277
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1327434165642
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1327434173472
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1327434175574
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1327434297920
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1327434300569
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1327434307602
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1327434317798
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1327434688175
activated,editor,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.CompilationUnitEditor",1327434691009
executed,command,,,"AUTOGEN:::org.eclipse.jdt.debug.CompilationUnitEditor.BreakpointRulerActions/org.eclipse.jdt.debug.ui.actions.ManageBreakpointRulerAction",1327434718234
executed,command,,,"AUTOGEN:::org.eclipse.jdt.debug.CompilationUnitEditor.BreakpointRulerActions/org.eclipse.jdt.debug.ui.actions.ManageBreakpointRulerAction",1327434720978
started,bundle,org.eclipse.compare,3.5.100.I20100526-0800,"org.eclipse.compare",1327434726910
started,bundle,com.google.gdt.eclipse.designer.wizards,2.4.2.r36x201110181249,"com.google.gdt.eclipse.designer.wizards",1327434727309
executed,command,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.edit.text.java.rename.element",1327434735588
executed,command,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.edit.text.java.rename.element",1327434748985
started,bundle,org.eclipse.wb.core.xml,1.2.0.r36x201109270326,"org.eclipse.wb.core.xml",1327434754544
started,bundle,org.eclipse.wb.xwt,1.2.0.r36x201109270457,"org.eclipse.wb.xwt",1327434754818
started,bundle,org.eclipse.mylyn.java.tasks,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.java.tasks",1327434756045
executed,command,,,"AUTOGEN:::org.eclipse.jdt.debug.CompilationUnitEditor.BreakpointRulerActions/org.eclipse.jdt.debug.ui.actions.ManageBreakpointRulerAction",1327434764649
executed,command,,,"AUTOGEN:::org.eclipse.jdt.debug.CompilationUnitEditor.BreakpointRulerActions/org.eclipse.jdt.debug.ui.actions.ManageBreakpointRulerAction",1327434766119
executed,command,,,"AUTOGEN:::org.eclipse.jdt.debug.CompilationUnitEditor.BreakpointRulerActions/org.eclipse.jdt.debug.ui.actions.ManageBreakpointRulerAction",1327434767723
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1327434780671
activated,view,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.PackageExplorer",1327434785338
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1327434785422
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1327434788871
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1327434792049
opened,view,org.eclipse.debug.ui,3.6.0.v20100601-1530,"org.eclipse.debug.ui.DebugView",1327434793017
opened,view,org.eclipse.debug.ui,3.6.0.v20100601-1530,"org.eclipse.debug.ui.VariableView",1327434793180
activated,perspective,org.eclipse.debug.ui,3.6.0.v20100601-1530,"org.eclipse.debug.ui.DebugPerspective",1327434793304
activated,editor,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.CompilationUnitEditor",1327434793333
opened,view,org.eclipse.debug.ui,3.6.0.v20100601-1530,"org.eclipse.debug.ui.BreakpointView",1327434794286
activated,view,org.eclipse.debug.ui,3.6.0.v20100601-1530,"org.eclipse.debug.ui.DebugView",1327434795820
executed,command,org.eclipse.debug.ui,3.6.0.v20100601-1530,"org.eclipse.debug.ui.commands.StepOver",1327434795908
executed,command,org.eclipse.debug.ui,3.6.0.v20100601-1530,"org.eclipse.debug.ui.commands.StepOver",1327434797888
executed,command,org.eclipse.debug.ui,3.6.0.v20100601-1530,"org.eclipse.debug.ui.commands.StepOver",1327434799811
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1327434815069
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1327434829337
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1327434829352
activated,editor,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.CompilationUnitEditor",1327434830591
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1327434831514
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1327434856186
